epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
21,107.46,1.1472,1.43063,1.24422,0.15702,0.08333,0.18618,0.09116,1.80759,3.00759,1.95854,0.000624258,0.000624258,0.000624258
22,112.59,1.18515,1.49674,1.26003,0.61495,0.08333,0.15896,0.09128,1.89903,3.00658,1.90536,0.00063301,0.00063301,0.00063301
23,117.522,1.16307,1.45866,1.28191,0.61495,0.08333,0.15896,0.09128,1.89903,3.00658,1.90536,0.000639781,0.000639781,0.000639781
24,122.555,1.14385,1.39331,1.27778,0.70875,0.08333,0.1399,0.0794,1.9484,2.99269,1.91539,0.000644572,0.000644572,0.000644572
25,127.377,1.18956,1.36469,1.26212,0.70875,0.08333,0.1399,0.0794,1.9484,2.99269,1.91539,0.000647383,0.000647383,0.000647383
26,132.332,1.19309,1.33966,1.23448,0.87877,0.08333,0.23581,0.10158,2.04865,2.9635,1.87992,0.000648213,0.000648213,0.000648213
27,137.272,1.24019,1.31458,1.2634,0.87877,0.08333,0.23581,0.10158,2.04865,2.9635,1.87992,0.000647063,0.000647063,0.000647063
28,142.224,1.06371,1.3854,1.22195,0.15468,0.1234,0.29942,0.16333,2.01702,2.93682,1.78154,0.000643932,0.000643932,0.000643932
29,147.253,1.00766,1.17187,1.1413,0.15468,0.1234,0.29942,0.16333,2.01702,2.93682,1.78154,0.000638821,0.000638821,0.000638821
30,152.263,1.10236,1.37327,1.26994,0.15468,0.1234,0.29942,0.16333,2.01702,2.93682,1.78154,0.00063173,0.00063173,0.00063173
31,157.157,0.9441,1.43506,1.21978,0.58461,0.29254,0.47154,0.16464,1.87065,2.82254,1.73269,0.000622658,0.000622658,0.000622658
32,162.334,1.09877,1.28063,1.26788,0.58461,0.29254,0.47154,0.16464,1.87065,2.82254,1.73269,0.000611606,0.000611606,0.000611606
33,167.292,0.90689,1.18863,1.11987,0.40352,0.33333,0.41745,0.15147,1.89179,2.70948,1.86943,0.000598573,0.000598573,0.000598573
34,172.164,1.12062,1.30448,1.24353,0.40352,0.33333,0.41745,0.15147,1.89179,2.70948,1.86943,0.000577782,0.000577782,0.000577782
35,177.086,1.10144,1.19642,1.2079,0.40352,0.33333,0.41745,0.15147,1.89179,2.70948,1.86943,0.000544776,0.000544776,0.000544776
36,182.131,1.11057,1.25442,1.22772,0.35699,0.45833,0.37862,0.1253,1.93871,2.64051,1.89507,0.000511769,0.000511769,0.000511769
37,187.19,0.96847,1.20469,1.12478,0.35699,0.45833,0.37862,0.1253,1.93871,2.64051,1.89507,0.000478762,0.000478762,0.000478762
38,192.067,0.96552,1.24684,1.1637,0.35699,0.45833,0.37862,0.1253,1.93871,2.64051,1.89507,0.000445756,0.000445756,0.000445756
39,197.034,1.0263,1.21647,1.17876,0.54023,0.57499,0.50791,0.18756,1.94078,2.56956,1.91249,0.000412749,0.000412749,0.000412749
40,201.882,0.9924,1.19427,1.18395,0.54023,0.57499,0.50791,0.18756,1.94078,2.56956,1.91249,0.000379743,0.000379743,0.000379743
41,206.965,0.95948,1.26683,1.16206,0.45477,0.45833,0.32778,0.16255,1.86395,2.47529,1.93376,0.000346736,0.000346736,0.000346736
42,211.921,0.9454,1.20649,1.12333,0.45477,0.45833,0.32778,0.16255,1.86395,2.47529,1.93376,0.000313729,0.000313729,0.000313729
43,216.831,0.94249,1.22862,1.09511,0.45477,0.45833,0.32778,0.16255,1.86395,2.47529,1.93376,0.000280723,0.000280723,0.000280723
44,221.939,0.93126,1.43252,1.12689,0.57588,0.45833,0.33069,0.16918,1.90231,2.40462,1.92771,0.000247716,0.000247716,0.000247716
45,226.852,0.94073,1.31685,1.12503,0.57588,0.45833,0.33069,0.16918,1.90231,2.40462,1.92771,0.00021471,0.00021471,0.00021471
46,231.718,0.84525,1.29021,1.08982,0.57588,0.45833,0.33069,0.16918,1.90231,2.40462,1.92771,0.000181703,0.000181703,0.000181703
47,236.662,0.95881,1.51419,1.15503,0.65766,0.45833,0.40306,0.22123,1.90192,2.36835,1.91223,0.000148696,0.000148696,0.000148696
48,241.657,0.88651,1.21181,1.0876,0.65766,0.45833,0.40306,0.22123,1.90192,2.36835,1.91223,0.00011569,0.00011569,0.00011569
49,246.842,0.94106,1.38317,1.12942,0.66243,0.45833,0.40604,0.22569,1.88654,2.32461,1.91132,8.26832e-05,8.26832e-05,8.26832e-05
50,251.86,0.88468,1.25187,1.09887,0.66243,0.45833,0.40604,0.22569,1.88654,2.32461,1.91132,4.96766e-05,4.96766e-05,4.96766e-05
