epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
19,4615.6,1.28625,1.25501,1.21621,0.74604,0.60398,0.67271,0.44043,1.1945,0.99104,1.16613,0.0077725,0.0077725,0.0077725
20,4861.5,1.27792,1.25046,1.2147,0.74815,0.61098,0.67521,0.44448,1.19732,0.98959,1.1788,0.00764875,0.00764875,0.00764875
21,5082.55,1.26842,1.23354,1.20873,0.74926,0.62401,0.68576,0.45476,1.18346,0.96657,1.16636,0.007525,0.007525,0.007525
22,5302.41,1.26268,1.23025,1.20428,0.75603,0.61758,0.68707,0.45456,1.17225,0.96212,1.15617,0.00740125,0.00740125,0.00740125
23,5543.7,1.25723,1.22057,1.20309,0.76195,0.62383,0.69261,0.46021,1.17815,0.94172,1.16534,0.0072775,0.0072775,0.0072775
24,5791.64,1.25291,1.21071,1.1983,0.7632,0.62049,0.6935,0.46167,1.16863,0.94022,1.15056,0.00715375,0.00715375,0.00715375
25,6037.18,1.24322,1.20175,1.19405,0.7663,0.62792,0.70029,0.46636,1.15712,0.93281,1.14452,0.00703,0.00703,0.00703
26,6282.69,1.24175,1.2003,1.19338,0.77332,0.62964,0.69868,0.46893,1.15254,0.91661,1.1412,0.00690625,0.00690625,0.00690625
27,6527.1,1.23,1.18553,1.18888,0.76978,0.63724,0.70353,0.47198,1.14935,0.91252,1.13616,0.0067825,0.0067825,0.0067825
28,6770.1,1.2288,1.17516,1.18389,0.77676,0.63691,0.70407,0.47262,1.14846,0.91189,1.13445,0.00665875,0.00665875,0.00665875
29,7014.21,1.22871,1.1732,1.1832,0.78042,0.64323,0.7084,0.47651,1.14719,0.89945,1.13616,0.006535,0.006535,0.006535
30,7257.59,1.21645,1.16646,1.18074,0.78225,0.63728,0.70886,0.47843,1.14418,0.89619,1.13292,0.00641125,0.00641125,0.00641125
31,7501.2,1.22008,1.16801,1.17715,0.77126,0.64659,0.71097,0.48222,1.13843,0.88917,1.1285,0.0062875,0.0062875,0.0062875
32,7746.24,1.20963,1.15035,1.17342,0.78735,0.64213,0.71257,0.48229,1.13601,0.88204,1.12705,0.00616375,0.00616375,0.00616375
33,7990.85,1.20417,1.1475,1.17166,0.77489,0.649,0.71642,0.48586,1.12575,0.87423,1.12059,0.00604,0.00604,0.00604
34,8234.82,1.19883,1.14018,1.16813,0.77032,0.65312,0.71923,0.48704,1.12561,0.8746,1.12083,0.00591625,0.00591625,0.00591625
35,8481.56,1.19053,1.1311,1.16352,0.76558,0.66212,0.71967,0.48758,1.12509,0.87612,1.11883,0.0057925,0.0057925,0.0057925
36,8725.75,1.19135,1.13533,1.16575,0.76899,0.65955,0.7199,0.49036,1.12067,0.87135,1.11618,0.00566875,0.00566875,0.00566875
37,8969.68,1.18823,1.12413,1.16086,0.78549,0.65298,0.72073,0.4921,1.11696,0.86278,1.11412,0.005545,0.005545,0.005545
38,9216.21,1.18925,1.11895,1.1586,0.78327,0.65318,0.72184,0.49274,1.11652,0.85998,1.11313,0.00542125,0.00542125,0.00542125
39,9451.75,1.17518,1.10893,1.15761,0.7905,0.65459,0.72301,0.49355,1.11518,0.85994,1.11265,0.0052975,0.0052975,0.0052975
40,9674.3,1.16445,1.10233,1.15316,0.79159,0.65463,0.72306,0.49245,1.113,0.85941,1.11241,0.00517375,0.00517375,0.00517375
41,9891.88,1.17509,1.10715,1.15656,0.77705,0.66386,0.7244,0.49414,1.11011,0.85413,1.10975,0.00505,0.00505,0.00505
42,10122.5,1.16485,1.10129,1.15244,0.78299,0.65687,0.72639,0.49723,1.10805,0.84881,1.1087,0.00492625,0.00492625,0.00492625
43,10371.9,1.16612,1.09544,1.15185,0.79025,0.6575,0.72742,0.49837,1.1071,0.84634,1.10791,0.0048025,0.0048025,0.0048025
44,10615.1,1.16204,1.08867,1.14752,0.78667,0.66392,0.72799,0.50008,1.10409,0.84217,1.1052,0.00467875,0.00467875,0.00467875
45,10860.2,1.1496,1.07815,1.14257,0.79543,0.65815,0.728,0.50074,1.10118,0.84012,1.10237,0.004555,0.004555,0.004555
46,11104.7,1.1507,1.07521,1.14112,0.78542,0.66538,0.72938,0.50161,1.10041,0.83508,1.10139,0.00443125,0.00443125,0.00443125
47,11346,1.14698,1.07259,1.13997,0.78327,0.66662,0.72977,0.50286,1.09871,0.83292,1.10128,0.0043075,0.0043075,0.0043075
48,11589.4,1.14557,1.07152,1.13786,0.78616,0.66653,0.73047,0.50355,1.09694,0.82982,1.10034,0.00418375,0.00418375,0.00418375
49,11833.3,1.13716,1.0654,1.13401,0.78669,0.66703,0.73104,0.50446,1.09519,0.82863,1.09878,0.00406,0.00406,0.00406
50,12079.6,1.13546,1.0559,1.1342,0.78883,0.66712,0.73195,0.50514,1.09412,0.828,1.09723,0.00393625,0.00393625,0.00393625
51,12323.7,1.13759,1.05712,1.13182,0.7919,0.66602,0.73278,0.50606,1.09301,0.8259,1.09605,0.0038125,0.0038125,0.0038125
52,12567.7,1.13276,1.05189,1.12997,0.78802,0.66998,0.73373,0.50666,1.09261,0.82508,1.09562,0.00368875,0.00368875,0.00368875
53,12813.2,1.12681,1.05017,1.13082,0.79244,0.66664,0.73458,0.50709,1.09138,0.82384,1.09451,0.003565,0.003565,0.003565
54,13060.1,1.11781,1.04127,1.12937,0.78881,0.6727,0.73494,0.50786,1.091,0.82309,1.09444,0.00344125,0.00344125,0.00344125
55,13303.4,1.12064,1.03624,1.12401,0.79249,0.66824,0.73519,0.50834,1.09044,0.82125,1.09394,0.0033175,0.0033175,0.0033175
56,13546.3,1.11003,1.03512,1.12295,0.78454,0.67425,0.73595,0.5084,1.08981,0.82051,1.09299,0.00319375,0.00319375,0.00319375
57,13792,1.10292,1.02332,1.12053,0.78677,0.6731,0.73618,0.50841,1.08954,0.81957,1.09262,0.00307,0.00307,0.00307
58,14035.2,1.10631,1.02266,1.11675,0.79097,0.67148,0.73643,0.50852,1.08945,0.81952,1.09226,0.00294625,0.00294625,0.00294625
59,14278.6,1.10132,1.01892,1.11787,0.79936,0.66791,0.7376,0.5088,1.08936,0.81882,1.09149,0.0028225,0.0028225,0.0028225
60,14521.9,1.09757,1.01322,1.11448,0.79832,0.66795,0.73766,0.50916,1.08899,0.81788,1.091,0.00269875,0.00269875,0.00269875
61,14765.3,1.09571,1.00964,1.11397,0.80287,0.6671,0.73823,0.50958,1.08862,0.81716,1.09043,0.002575,0.002575,0.002575
62,15006.2,1.0927,1.00383,1.11242,0.7986,0.66973,0.73868,0.51034,1.0881,0.81654,1.08987,0.00245125,0.00245125,0.00245125
63,15248.9,1.09408,0.99917,1.10831,0.79995,0.66915,0.73878,0.51053,1.08769,0.81561,1.08963,0.0023275,0.0023275,0.0023275
64,15489.8,1.08399,0.98723,1.10694,0.79934,0.6697,0.73912,0.51095,1.08691,0.8151,1.08866,0.00220375,0.00220375,0.00220375
65,15735.1,1.07583,0.98814,1.10375,0.79747,0.67122,0.73963,0.51087,1.08686,0.81402,1.08847,0.00208,0.00208,0.00208
66,15976.6,1.07471,0.98154,1.10387,0.79051,0.67574,0.74026,0.51114,1.08637,0.81315,1.08797,0.00195625,0.00195625,0.00195625
67,16217.4,1.07234,0.97808,1.09899,0.79131,0.67482,0.74067,0.5118,1.08606,0.812,1.08774,0.0018325,0.0018325,0.0018325
68,16461.4,1.06922,0.97683,1.1007,0.79184,0.67553,0.74137,0.51225,1.08563,0.81118,1.08742,0.00170875,0.00170875,0.00170875
69,16705.7,1.06549,0.97131,1.10006,0.79412,0.67379,0.74142,0.51256,1.08526,0.8098,1.08718,0.001585,0.001585,0.001585
70,16949.5,1.06488,0.96376,1.0964,0.79764,0.67203,0.74179,0.51268,1.08489,0.80922,1.08684,0.00146125,0.00146125,0.00146125
71,17159.7,1.03108,0.91034,1.08693,0.79241,0.67541,0.74153,0.51286,1.08457,0.80871,1.08678,0.0013375,0.0013375,0.0013375
72,17362.4,1.02045,0.89014,1.08385,0.79255,0.67746,0.74209,0.5131,1.08421,0.8082,1.08651,0.00121375,0.00121375,0.00121375
73,17560.4,1.01311,0.8844,1.07891,0.79418,0.67615,0.74248,0.51352,1.08346,0.80737,1.08599,0.00109,0.00109,0.00109
74,17759.5,1.00801,0.87328,1.07459,0.79347,0.67836,0.74289,0.51406,1.08255,0.80634,1.08537,0.00096625,0.00096625,0.00096625
75,17958.4,0.99668,0.87057,1.07003,0.79014,0.68072,0.74311,0.51418,1.08218,0.80552,1.0851,0.0008425,0.0008425,0.0008425
76,18159.4,0.99139,0.86006,1.07036,0.79145,0.68004,0.74315,0.51446,1.0815,0.80503,1.08466,0.00071875,0.00071875,0.00071875
77,18360.2,0.98878,0.84932,1.0669,0.7911,0.67991,0.74358,0.51473,1.08114,0.80449,1.08447,0.000595,0.000595,0.000595
78,18559.6,0.98538,0.84701,1.06606,0.79406,0.67861,0.74353,0.51509,1.08086,0.8037,1.08438,0.00047125,0.00047125,0.00047125
79,18761.9,0.97858,0.83889,1.06225,0.79439,0.67901,0.744,0.51536,1.08058,0.80269,1.08411,0.0003475,0.0003475,0.0003475
80,18961.9,0.97466,0.83462,1.06064,0.79459,0.67905,0.74417,0.51547,1.08011,0.80221,1.08377,0.00022375,0.00022375,0.00022375
