epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,355.188,1.49523,1.95499,1.31721,0.65042,0.53573,0.54599,0.31938,1.33243,1.41623,1.25668,0.00333186,0.00333186,0.00333186
2,615.82,1.48292,1.65226,1.30006,0.6376,0.50366,0.52539,0.30729,1.35974,1.40442,1.28435,0.00658271,0.00658271,0.00658271
3,836.877,1.55261,1.66783,1.3447,0.61305,0.50326,0.50156,0.28566,1.50995,1.47608,1.38659,0.00975106,0.00975106,0.00975106
4,1057.62,1.57836,1.67546,1.37251,0.65065,0.49836,0.52536,0.30428,1.45141,1.43013,1.3523,0.00962875,0.00962875,0.00962875
5,1285.98,1.52108,1.58838,1.3434,0.65489,0.55435,0.56123,0.33779,1.41575,1.31107,1.33424,0.009505,0.009505,0.009505
6,1508.97,1.48824,1.52829,1.32218,0.65932,0.5505,0.57919,0.35105,1.37105,1.27048,1.3159,0.00938125,0.00938125,0.00938125
7,1730.6,1.44015,1.47623,1.30506,0.65187,0.53828,0.57795,0.35247,1.35395,1.25143,1.29188,0.0092575,0.0092575,0.0092575
8,1979.89,1.42024,1.43636,1.29079,0.68125,0.55762,0.59391,0.36205,1.33192,1.18176,1.27365,0.00913375,0.00913375,0.00913375
9,2233.38,1.39859,1.41741,1.2784,0.66602,0.54962,0.58898,0.36414,1.31937,1.17907,1.26105,0.00901,0.00901,0.00901
10,2455.48,1.37715,1.38968,1.26943,0.70279,0.57301,0.62244,0.39433,1.28991,1.11776,1.24483,0.00888625,0.00888625,0.00888625
11,2703.58,1.36576,1.37646,1.26286,0.70531,0.56747,0.62315,0.39427,1.28206,1.13176,1.2366,0.0087625,0.0087625,0.0087625
12,2936.74,1.35953,1.35099,1.25639,0.72442,0.58881,0.64255,0.41123,1.25559,1.07323,1.21885,0.00863875,0.00863875,0.00863875
13,3170.6,1.33696,1.33198,1.24765,0.72977,0.59203,0.64216,0.41277,1.25135,1.07664,1.21076,0.008515,0.008515,0.008515
14,3416.72,1.33375,1.31225,1.24283,0.73105,0.59207,0.64744,0.41512,1.23441,1.06433,1.21133,0.00839125,0.00839125,0.00839125
15,3664.38,1.31829,1.29751,1.23406,0.75614,0.5862,0.65793,0.42366,1.23369,1.02658,1.20122,0.0082675,0.0082675,0.0082675
16,3907.7,1.30785,1.29097,1.22686,0.75113,0.5949,0.66085,0.42985,1.22147,1.02133,1.18877,0.00814375,0.00814375,0.00814375
17,4151.73,1.29894,1.28061,1.22331,0.74549,0.60278,0.66448,0.43523,1.21073,1.02284,1.18324,0.00802,0.00802,0.00802
18,4392.18,1.28739,1.26735,1.22106,0.73619,0.61042,0.67023,0.44052,1.20225,1.00728,1.18335,0.00789625,0.00789625,0.00789625
